AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
422163,2378.908,837.8484,645.6693,0.6373,733.1539,0.9947,424428,0.7831,1.2976,0.9374,0.875,0.002,0.0015,0.7657,0.9936,BERHI
338136,2085.144,723.8198,595.2073,0.569,656.1464,0.9974,339014,0.7795,1.2161,0.9773,0.9065,0.0021,0.0018,0.8218,0.9993,BERHI
526843,2647.394,940.7379,715.3638,0.6494,819.0222,0.9962,528876,0.7657,1.315,0.9446,0.8706,0.0018,0.0014,0.758,0.9968,BERHI
416063,2351.21,827.9804,645.2988,0.6266,727.8378,0.9948,418255,0.7759,1.2831,0.9458,0.8791,0.002,0.0016,0.7727,0.9915,BERHI
347562,2160.354,763.9877,582.8359,0.6465,665.2291,0.9908,350797,0.7569,1.3108,0.9358,0.8707,0.0022,0.0017,0.7582,0.9938,BERHI
408953,2326.6931,840.1821,622.0076,0.6722,721.5921,0.9974,410036,0.7805,1.3508,0.9493,0.8589,0.0021,0.0015,0.7376,0.9964,BERHI
451414,2457.208,889.3253,652.4316,0.6796,758.1281,0.997,452755,0.7877,1.3631,0.9395,0.8525,0.002,0.0014,0.7267,0.9906,BERHI
382636,2275.7791,808.0833,609.2819,0.6569,697.988,0.9931,385277,0.7032,1.3263,0.9284,0.8638,0.0021,0.0016,0.7461,0.9895,BERHI
546063,2714.948,916.3737,766.4536,0.5481,833.8279,0.9882,552598,0.771,1.1956,0.931,0.9099,0.0017,0.0014,0.828,0.9899,BERHI
420044,2391.123,836.928,645.1822,0.637,731.3116,0.9918,423531,0.7853,1.2972,0.9232,0.8738,0.002,0.0015,0.7635,0.9905,BERHI
364495,2216.49,790.9014,590.7698,0.6649,681.2411,0.9949,366374,0.7658,1.3388,0.9323,0.8613,0.0022,0.0016,0.7419,0.9933,BERHI
404243,2345.5349,823.7634,628.8527,0.6459,717.4247,0.9921,407460,0.7808,1.3099,0.9234,0.8709,0.002,0.0016,0.7585,0.9936,BERHI
407789,2308.4099,788.727,664.5451,0.5386,720.5644,0.9958,409514,0.7594,1.1869,0.9617,0.9136,0.0019,0.0016,0.8346,0.9906,BERHI
340451,2098.1631,724.4111,600.3284,0.5597,658.3887,0.9971,341437,0.7813,1.2067,0.9718,0.9089,0.0021,0.0018,0.826,0.9968,BERHI
467092,2514.2429,895.3616,669.6182,0.6638,771.1809,0.9946,469638,0.8036,1.3371,0.9285,0.8613,0.0019,0.0014,0.7418,0.9919,BERHI
386374,2265.666,826.3535,597.2911,0.6911,701.3891,0.9968,387604,0.7588,1.3835,0.9459,0.8488,0.0021,0.0015,0.7204,0.9967,BERHI
413069,2350.4109,821.2114,645.8047,0.6177,725.2143,0.9917,416536,0.7485,1.2716,0.9396,0.8831,0.002,0.0016,0.7799,0.9917,BERHI
396792,2291.0701,790.0845,644.6891,0.5781,710.7822,0.9967,398109,0.7372,1.2255,0.9499,0.8996,0.002,0.0016,0.8093,0.9919,BERHI
358545,2199.5081,775.7432,593.731,0.6436,675.658,0.9911,361776,0.7306,1.3066,0.9313,0.871,0.0022,0.0017,0.7586,0.9912,BERHI
397744,2337.2251,869.5142,583.949,0.7409,711.6343,0.9947,399862,0.7648,1.489,0.915,0.8184,0.0022,0.0015,0.6698,0.9974,BERHI
398901,2299.335,812.7031,628.3113,0.6343,712.6686,0.9965,400295,0.762,1.2935,0.9481,0.8769,0.002,0.0016,0.769,0.9946,BERHI
342155,2151.896,760.6585,575.3604,0.6541,660.0343,0.9904,345474,0.7727,1.3221,0.9285,0.8677,0.0022,0.0017,0.7529,0.9954,BERHI
408220,2317.6689,769.1027,681.1285,0.4644,720.9451,0.9927,411229,0.8054,1.1292,0.955,0.9374,0.0019,0.0017,0.8787,0.9922,BERHI
306560,2015.198,715.4261,547.121,0.6443,624.7594,0.9952,308043,0.7464,1.3076,0.9486,0.8733,0.0023,0.0018,0.7626,0.9972,BERHI
